﻿Translation,original,final,"jan Ke Tami"
,"But Simpkin set down the pipkin of milk upon the dresser, and looked suspiciously at the tea-cups. He wanted his supper of little fat mouse!","taso soweli Sinkin li pana e poki kiwen lon supa, li lukin e poki telo taso lon supa, li pilin e ken nasa. ona li wile moku e soweli pona pi lili mute!~~~~jan Ke Tami","taso soweli Sinkin li pana e poki kiwen lon supa, li lukin e poki telo taso lon supa, li pilin e ken nasa. ona li wile moku e soweli pona pi lili mute!"
,"Simpkin, said the tailor, ""where is my twist?""","jan pali li toki tawa ona: ""soweli Sinkin o, linja mi li lon seme?""~~~~jan Ke Tami","jan pali li toki tawa ona: ""soweli Sinkin o, linja mi li lon seme?"""
,"But Simpkin hid a little parcel privately in the tea-pot, and spit and growled at the tailor; and if Simpkin had been able to talk, he would have asked: ""Where is my Mouse?""","taso soweli Sinkin li len e ijo jan lon insa poki kiwen lon tenpo pini lili, li mu ike tawa jan pali. ona li ken ala toki, taso ona li ken la, ona li wile toki e ni: ""soweli lili mi li lon seme?""~~~~jan Ke Tami","taso soweli Sinkin li len e ijo jan lon insa poki kiwen lon tenpo pini lili, li mu ike tawa jan pali. ona li ken ala toki, taso ona li ken la, ona li wile toki e ni: ""soweli lili mi li lon seme?"""
,"Alack, I am undone! said the Tailor of Gloucester, and went sadly to bed.","jan pali li kalama e ni: ""a! mi kama anpa, mi kama weka, mi kama pakala!"" pilin ike ona la, ona li tawa supa lape ona.~~~~jan Ke Tami","jan pali li kalama e ni: ""a! mi kama anpa, mi kama weka, mi kama pakala!"" pilin ike ona la, ona li tawa supa lape ona."
,"All that night long Simpkin hunted and searched through the kitchen, peeping into cupboards and under the wainscot, and into the tea-pot where he had hidden that twist; but still he found never a mouse!","tenpo pimeja ni la, soweli Sinkin li alasa, li alasa lon ale pi tomo moku, li lukin lon insa supa, li lukin lon insa sinpin, li lukin lon insa poki lon linja loje pi jan pali, li wile e soweli lili. taso ona li ken ala lukin e soweli lili.~~~~jan Ke Tami","tenpo pimeja ni la, soweli Sinkin li alasa, li alasa lon ale pi tomo moku, li lukin lon insa supa, li lukin lon insa sinpin, li lukin lon insa poki lon linja loje pi jan pali, li wile e soweli lili. taso ona li ken ala lukin e soweli lili."
,"And whenever the tailor muttered and talked in his sleep, Simpkin said: ""Miaw-ger-r-w-s-s-ch!"" and made strange, horrid noises, as cats do at night.","jan pali li lape. ona li kalama lon lape la, soweli Sinkin li mu tawa ona, li kalama nasa, li kalama jaki. ni li nasin soweli lon tenpo pimeja.~~~~jan Ke Tami","jan pali li lape. ona li kalama lon lape la, soweli Sinkin li mu tawa ona, li kalama nasa, li kalama jaki. ni li nasin soweli lon tenpo pimeja."
,"For the poor old tailor was very ill with a fever, tossing and turning in his four-post bed; and still in his dreams he mumbled: ""No more twist! no more twist!""","sijelo pi jan pali li kama ike, li kama seli. lape la, ona li tawa mute lon supa lape. ona li toki lape: ""a, linja li lon ala! a, linja li lon ala!""~~~~jan Ke Tami","sijelo pi jan pali li kama ike, li kama seli. lape la, ona li tawa mute lon supa lape. ona li toki lape: ""a, linja li lon ala! a, linja li lon ala!"""
,"All that day he was ill, and the next day, and the next; and what should become of the cherry-coloured coat? In the tailor's shop in Westgate Street the embroidered silk and satin lay cut out upon the table—one-and-twenty buttonholes—and who should come to sew them, when the window was barred, and the door was fast locked?","ale pi tenpo suno ni en ale pi tenpo suno kama tu la, sijelo ona li ike. a, len loje pi awen seli li kama ala pini anu seme? tomo esun pi jan pali la, len suno en len pona li lon supa pali, li ken kama wan. kiwen len mute wan li lon kin! a, lupa li pini awen la, jan seme li ken tawa ona, li ken pali e ona?~~~~jan Ke Tami","ale pi tenpo suno ni en ale pi tenpo suno kama tu la, sijelo ona li ike. a, len loje pi awen seli li kama ala pini anu seme? tomo esun pi jan pali la, len suno en len pona li lon supa pali, li ken kama wan. kiwen len mute wan li lon kin! a, lupa li pini awen la, jan seme li ken tawa ona, li ken pali e ona?"
,"But that does not hinder the little brown mice; they run in and out without any keys through all the old houses in Gloucester!","taso soweli pi lili mute la, lupa pini li suli ala; ona li tawa insa kepeken ilo ala, li tawa insa tomo ale pi ma tomo Kota!~~~~jan Ke Tami","taso soweli pi lili mute la, lupa pini li suli ala; ona li tawa insa kepeken ilo ala, li tawa insa tomo ale pi ma tomo Kota!"
,"Out-of-doors the market folks went trudging through the snow to buy their geese and turkeys, and to bake their Christmas pies; but there would be no Christmas dinner for Simpkin and the poor old tailor of Gloucester.","ma esun la, jan esun li tawa lon ko lete walo, li wile esun e waso moku, li wile pali e pan pi tenpo suno sewi; taso soweli Sinkin en jan pi pali len la, tenpo suno sewi ni li ken ala.~~~~jan Ke Tami","ma esun la, jan esun li tawa lon ko lete walo, li wile esun e waso moku, li wile pali e pan pi tenpo suno sewi; taso soweli Sinkin en jan pi pali len la, tenpo suno sewi ni li ken ala."
,"The tailor lay ill for three days and nights; and then it was Christmas Eve, and very late at night. The moon climbed up over the roofs and chimneys, and looked down over the gateway into College Court. There were no lights in the windows, nor any sound in the houses; all the city of Gloucester was fast asleep under the snow.","jan pali li awen ike lon tenpo suno tu wan. ni la, tenpo sewi a li kama. tenpo pimeja li lon. mun li kama sewi lon sewi pi ma tomo, li lukin lon anpa, li lukin e lupa pi nasin Masona. suno ala li lon lupa lukin. kalama ala kin li lon tomo ale. ko lete walo en pimeja la, ale pi ma tomo li lape.~~~~jan Ke Tami","jan pali li awen ike lon tenpo suno tu wan. ni la, tenpo sewi a li kama. tenpo pimeja li lon. mun li kama sewi lon sewi pi ma tomo, li lukin lon anpa, li lukin e lupa pi nasin Masona. suno ala li lon lupa lukin. kalama ala kin li lon tomo ale. ko lete walo en pimeja la, ale pi ma tomo li lape."
,"And still Simpkin wanted his mice, and mewed as he stood beside the four-post bed.","tenpo ni kin la, soweli Sinkin li wile e soweli lili ona, li mu tawa supa lape.~~~~jan Ke Tami","tenpo ni kin la, soweli Sinkin li wile e soweli lili ona, li mu tawa supa lape."
,"But it is in the old story that all the beasts can talk in the night between Christmas Eve and Christmas Day in the morning (though there are very few folk that can hear them, or know what it is that they say).","a, o sona: toki tenpo sewi la, soweli ale li ken toki lon tenpo pimeja sewi. (taso jan pi mute lili taso li ken kute e ona, li ken sona e toki ona.)~~~~jan Ke Tami","a, o sona: toki tenpo sewi la, soweli ale li ken toki lon tenpo pimeja sewi. (taso jan pi mute lili taso li ken kute e ona, li ken sona e toki ona.)"
,"When the Cathedral clock struck twelve there was an answer—like an echo of the chimes—and Simpkin heard it, and came out of the tailor's door, and wandered about in the snow.","ilo tenpo pi tomo suli li kalama kepeken mu luka luka tu la, kalama ante li kama kin—sama mu ante pi ilo tenpo ante. soweli Sinkin li kute e ni, li weka tan tomo, li tawa lon ko walo lete.~~~~jan Ke Tami","ilo tenpo pi tomo suli li kalama kepeken mu luka luka tu la, kalama ante li kama kin—sama mu ante pi ilo tenpo ante. soweli Sinkin li kute e ni, li weka tan tomo, li tawa lon ko walo lete."
