Translation,original,final,"jan Ke Tami"
,"MR. McGREGOR was quite sure that Peter was somewhere in the tool-shed, perhaps hidden underneath a ﬂower-pot. He began to turn them over carefully, looking under each.",,"jan Mekeke li pilin wawa e ni: soweli Pita li lon tomo ilo. ken la, ona li lon poki kasi. jan li tawa e poki ale, li lukin e ale."
,"Presently Peter sneezed—'Kertyschoo!' Mr. McGregor was after him in no time.",,"tenpo ni la, soweli Pita li weka wawa e kon tan uta a—""mu!"" jan Mekeke li tawa ona kepeken wawa"
,"AND tried to put his foot upon Peter, who jumped out of a window, upsetting three plants. The window was too small for Mr. McGregor, and he was tired of running after Peter. He went back to his work.",,"li wile noka e soweli Pita. soweli Pita li tawa luka lukin, li pakala e kasi tu wan. lupa lukin li lili tawa jan la, jan Mekeke li ken ala tawa ona. kin la, wawa ona li kama lili tan alasa soweli. ona li kama sin tawa pali ona."
,"PETER sat down to rest; he was out of breath and trembling with fright, and he had not the least idea which way to go. Also he was very damp with sitting in that can.",,"soweli Pita li anpa e monsi tawa lape lili. wawa pi kon ona li lili. sijelo ona li tawa mute tan pilin ike. ona li sona ala e nasin pona. kin la, ona li telo tan telo pi insa poki."
,"After a time he began to wander about, going lippity—lippity—not very fast, and looking all round.",,"tenpo li tawa la, ona li open sin e tawa, li tawa lili, li tawa lili, li kepeken ala wawa, li lukin."
,"HE found a door in a wall; but it was locked, and there was no room for a fat little rabbit to squeeze underneath.",,"lukin la, lupa li lon sinpin; taso ona li pini. soweli sama soweli Pita la, lupa lili li lon ala."
,"An old mouse was running in and out over the stone door-step, carrying peas and beans to her family in the wood. Peter asked her the way to the gate, but she had such a large pea in her mouth that she could not answer. She shook her head at him. Peter began to cry.",,
,"THEN he tried to find his way straight across the garden, but he became more and more puzzled. Presently, he came to a pond where Mr. McGregor filled his water-cans. A white cat was staring at some gold-fish, she sat very, very still, but now and then the tip of her tail twitched as if it were alive. Peter thought it best to go away without speaking to her; he had heard about cats from his cousin, little Benjamin Bunny.",,
,"HE went back towards the tool-shed, but suddenly, quite close to him, he heard the noise of a hoe—scr-r-ritch, scratch, scratch, scritch. Peter scuttered underneath the bushes. But presently, as nothing happened, he came out, and climbed upon a wheelbarrow and peeped over. The first thing he saw was Mr. McGregor hoeing onions. His back was turned towards Peter, and beyond him was the gate!",,
,"PETER got down very quietly off the wheelbarrow, and started running as fast as he could go, along a straight walk behind some black-currant bushes.",,
,"Mr. McGregor caught sight of him at the corner, but Peter did not care. He slipped underneath the gate, and was safe at last in the wood outside the garden.",,
,"MR. McGREGOR hung up the little jacket and the shoes for a scare-crow to frighten the blackbirds.",,
,"PETER never stopped running or looked behind him till he got home to the big fir-tree.",,"soweli Pita li pini ala e tawa, li lukin ala tawa monsi. ona li kama lon tomo ona lon kasi kiwen suli la, ona li pini taso e tawa."
,"He was so tired that he flopped down upon the nice soft sand on the floor of the rabbit-hole and shut his eyes. His mother was busy cooking; she wondered what he had done with his clothes. It was the second little jacket and pair of shoes that Peter had lost in a fortnight!",,
,"I AM sorry to say that Peter was not very well during the evening.",,"ike la, soweli Pita li pilin pona ala lon pini pi tenpo suno."
,"His mother put him to bed, and made some camomile tea; and she gave a dose of it to Peter!",,"mama ona li lape e ona lon supa lape, li pali e telo kasi. mama li pana e wan telo tawa soweli Pita!"
,"'One table-spoonful to be taken at bed-time.'",,"""o moku e ona kepeken wan pi ilo moku lon tenpo lape."""
,"BUT Flopsy, Mopsy, and Cotton-tail had bread and milk and blackberries for supper.",,"taso soweli Lawako en soweli Sikeko en soweli Monsiko li ken moku e pan e telo walo e kili pimeja lon pini pi tenpo suno."
,"THE END",,PINI
