Translation,original,final,"jan Enki",rvtar34,"mu Temi"
Predefine,"Ishmael (person)",,,,
Predefine,"Ishmaelites (group)",,,,
Predefine,"Ishvah (person)",,,,
Predefine,"Ishvi (person)",,,,
Predefine,"Israel (person)",,,,"jan Isuwaje"
Predefine,"Issachar (person)",,,,
Predefine,"Ithran (person)",,,,
Predefine,"Jabal (person)",,,,
Predefine,"Jabbok (place)",,,,
Predefine,"Jachin (person)",,,,
Predefine,"Jacob (person)",,,,"jan Seko"
Predefine,"Jahleel (person)",,,,
Predefine,"Jahzeel (person)",,,,
Predefine,"Jalam (person)",,,,
Predefine,"Jamin (person)",,,,
Predefine,"Japheth (person)",,,,
Predefine,"Jared (person)",,,,
Predefine,"Javan (person)",,,,
Predefine,"Jebusites (group)",,,,
Predefine,"Jegar-saha-dutha (place)",,,,
Predefine,"Jehovah (god)",,,,xxxxx
Predefine,"Jehovah-jireh (place)",,,,
Predefine,"Jemuel (person)",,,,
Predefine,"Jerah (person)",,,,
Predefine,"Jetheth (person)",,,,
Predefine,"Jetur (person)",,,,
Predefine,"Jeush (person)",,,,
Predefine,"Jezer (person)",,,,
Predefine,"Jidlaph (person)",,,,
Predefine,"Jobab (person)",,,,
Predefine,"Jokshan (person)",,,,
Predefine,"Joktan (person)",,,,
Predefine,"Jordan (place)",,,,
Predefine,"Joseph (person)",,,,
Predefine,"Jubal (person)",,,,
Predefine,"Judah (person)",,,,
Predefine,"Judith (person)",,,,
Predefine,"Kadesh (place)",,,,
Predefine,"Kadmonites (group)",,,,
Predefine,"Kedar (person)",,,,
Predefine,"Kedemah (person)",,,,
Predefine,"Kemuel (person)",,,,
Predefine,"Kenan (person)",,,,
Predefine,"Kenaz (person)",,,,
Predefine,"Kenites (group)",,,,
Predefine,"Kenizzites (group)",,,,
Predefine,"Keturah (person)",,,,
Predefine,"Kiriath-arba (place)",,,,
Predefine,"Kittim (place)",,,,
Predefine,"Kohath (person)",,,,
Predefine,"Korah (person)",,,,
Predefine,"Laban (person)",,,,
Predefine,"Lamech (person)",,,,
Predefine,"Lasha (place)",,,,
Predefine,"Leah (person)",,,,"jan Lija"
Predefine,"Lehabim (person)",,,,
Predefine,"Letushim (person)",,,,
Predefine,"Leummim (person)",,,,
Predefine,"Levi (person)",,,,"jan Lipe"
Predefine,"Lot (person)",,,"jan Losi",
Predefine,"Lotan (person)",,,,
Predefine,"Lud (person)",,,,
Predefine,"Ludim (person)",,,,
Predefine,"Luz (place)",,,,
Predefine,"Maacah (person)",,,,
Predefine,"Machir (person)",,,,
Predefine,"Machpelah (place)",,,,
Predefine,"Madai (person)",,,,
Predefine,"Magdiel (person)",,,,
Predefine,"Magog (person)",,,,"jan Mako"
Predefine,"Mahalalel (person)",,,,
Predefine,"Mahalath (person)",,,,
Predefine,"Mahanaim (place)",,,,
Predefine,"Malchiel (person)",,,,
Predefine,"Mamre (place)",,,,
Predefine,"Manahath (person)",,,,
Predefine,"Manasseh (person)",,,,
Predefine,"Mash (person)",,,,
Predefine,"Masrekah (place)",,,,
Predefine,"Massa (person)",,,,
Predefine,"Matred (person)",,,,
Predefine,"Me-zahab (person)",,,,
Predefine,"Medan (person)",,,,
Predefine,"Mehetabel (person)",,,,
Predefine,"Mehujael (person)",,,,
Predefine,"Melchizedek (person)",,,,
Predefine,"Merari (person)",,,,
Predefine,"Mesha (person)",,,,
Predefine,"Meshech (person)",,,,
Predefine,"Mesopotamia (place)",,,"ma Mesopotamija",
Predefine,"Methuselah (person)",,,,
Predefine,"Methushael (person)",,,,
Predefine,"Mibsam (person)",,,,
Predefine,"Mibzar (person)",,,,
Predefine,"Midian (place)",,,,
Predefine,"Midianites (group)",,,,
Predefine,"Milcah (person)",,,,
Predefine,"Mishma (person)",,,,
Predefine,"Mizpah (place)",,,,
Predefine,"Mizraim (person)",,,,
Predefine,"Mizzah (person)",,,,
Predefine,"Moab (place)",,,,"ma Mowapu"
Predefine,"Moabites (group)",,,,
Predefine,"Moreh (place)",,,,
Predefine,"Moriah (place)",,,,
