Translation,original,final,"jan Sonatan"
,"[Tech head] Whoaaa!",,a!
,Whoaaa!,,a!
,Nooooo!,,ala!
,"[Celia] You broke my heart.",,"sina li pakala e pilin mi."
,"[Thom] I know.",,"mi sona e ni."
,"[Celia] You forgot me on earth.",,"mi lon ma la sina pini sona e mi."
,"[Thom] I know.",,"mi sona e ni."
,"[Celia] I should just crush you.",,"mi wile pakala e sina."
,"[Thom] I'm-",,mi...
,"I'm sorry.",,"...mi pakala."
,"[Captain] Good ad-lib.",,"pali pona."
,"[Tech head] Not my fault!",,"mi pakala ala..."
,"This time.",,"...lon tenpo ni."
,"[Captain] Quiet on set!",,"o toki ala!"
,"[Barley] We're out of time!",,"mi jo ala e tenpo!"
,"[Barley] Come on!",,"o tawa!"
,RAAAAAAAAH!,,a!
,"[Tech head] Memory overwrite, 90%.",,"mi pana e sona. mi wile kepeken e tenpo lili."
,"[Djenghis] Captain! We have to abort!",,"jan lawa o mi wile pini!"
,"[Thom] The world's changed, Celia...",,"jan Selija o ma li ante..."
,"...maybe we can too.",,"...ken la mi tu ken ante kin."
,"[Tech head] Memory overwrite complete!",,"sona sin li lon!"
,"[Captain] You know.",,"sina sona e ni:"
,"There's a lesson to be learned from this.",,"mi ken kama sona tan ni."
,"[Djenghis] Could'a gone worse.",,"ni li pona."
