,eng,tok
50,and he had pity on her,tan ni la jan lawa lete li pana e pona tawa ona

51,and he wrapped her up in furs and covered her with blankets and he fetched a great box in which were beautiful jewels and a rich robe embroidered in gold and silver and she put it on and looked more lovely than ever and king frost stepped with her into his sledge with six white horses,ona li len e meli lili kepeken len mani suli pi kiwen walo en kiwen jelo meli lili li suno mute li pona lukin jan lawa lete li pana e ona tawa poki tawa ona li pana e len seli soweli tawa ona soweli suli luka wan li tawa e poki tawa ona kepeken tenpo lili

52,in the meantime the wicked stepmother was waiting at home for news of the girl’s death,mama meli ike li lon tomo

53,and preparing pancakes,li pali e moku sike

54,for the funeral feast,ona li weka e sijelo pi meli lili la ona li wile jo e moku mute

55,and she said to her husband,ona li toki e ni tawa mije ona

56,old man you had better go out into the fields,o tawa ma suli

57,and find your daughter’s body and bury her,o kama jo e sijelo pi meli lili sina

58,just as the old man was leaving the house,mije li kama tawa

59,the little dog under the table began to bark saying,taso soweli pi lon anpa supa li mu e ni tawa ona

60,your daughter shall live to be your delight her daughter shall die this very night,meli lili sina li moli ala meli lili ona li moli wawa

61,hold your tongue you foolish beast scolded the woman there’s a pancake for you but you must say,meli ike li pakala e soweli li pana e moku sike tawa ona meli li toki e ni o toki e ni tawa mije mi

62,‘her daughter shall have much silver and gold his daughter is frozen quite stiff and cold’,‘meli lili sina li moli lete meli lili ona li jo e mani mute’

63,but the doggie ate up the pancake and barked saying,soweli li pini moku la ona li mu e ni tawa meli ike

64,his daughter shall wear a crown on her head her daughter shall die unwooed unwed,meli lili ona li jo e mije meli lili sina li moli lete

65,then the old woman tried to coax the doggie with more pancakes and to terrify it with blows,meli ike li pakala sin e soweli li pana e moku sin tawa ona

66,but he barked on,taso ni li suli ala tawa soweli

67,always repeating the same words,ona li awen mu sama

68,and suddenly the door creaked and flew open,lupa tomo li open

69,and a great heavy chest was pushed in and behind it came the stepdaughter radiant and beautiful in a dress all glittering with silver and gold for a moment the stepmother’s eyes were dazzled then she called to her husband,poki suli pi mani jelo mute li tawa insa tomo meli lili pona li kama ona li jo e len suno pona mama tu li lukin e ona mama meli ike li sona e kama la ona li toki e ni tawa mije ona

70,old man yoke the horses at once into the sledge and take my daughter to the same field and leave her on the same spot exactly,tenpo pini la sina weka e meli lili sina tawa ma suli o weka e meli lili mi tawa ma suli sama

71,and so the old man took the girl and left her beneath the same tree where he had parted from his daughter,mije li weka e meli lili li tawa tomo ona

72,in a few minutes king frost came past and looking at the girl,tenpo lili la jan lawa lete li kama

73,he said,ona li toki e ni

74,are you warm maiden,meli lili o sina seli ala seli

75,what a blind old fool you must be to ask such a question she answered angrily can’t you see that my hands and feet are nearly frozen,meli lili li toki utala e ni noka mi en luka mi li lete kin sina sona ala e ni la sina jan nasa

76,then king frost sprang to and fro in front of her questioning her,jan lawa lete li tawa musi lon poka ona li kama e lete li awen toki e ni meli lili o sina seli ala seli

77,and getting only rude rough words in reply till at last he got very angry and cracked his fingers and gnashed his teeth and froze her to death,meli lili li kalama utala li toki e nimi ike tawa jan lawa lete jan lawa lete li lete e nimi pi lon uta ona ona li moli lete

78,but in the hut her mother was waiting for her return and as she grew impatient she said to her husband,mama meli li awen lon tomo ona li toki e ni tawa mije ona

79,get out the horses old man to go and fetch her home,o kama jo e meli lili mi

80,but see that you are careful not to upset the sledge and lose the chest,taso o kama jo e poki suli mani kin

81,but the doggie beneath the table began to bark saying,soweli pi lon anpa supa li mu e ni

82,your daughter is frozen quite stiff and cold and shall never have a chest full of gold,meli lili sina li lete li moli li wile ala e poki suli mani

83,don’t tell such wicked lies scolded the woman,meli ike li pakala e soweli

84,there’s a cake for you now say ‘her daughter shall marry a mighty king’,

85,at that moment the door flew open,lupa tomo li open

86,and she rushed out to meet her daughter,ona li tawa meli lili ona li tawa mani ona

87,and as she took her frozen body in her arms,ona li jo e sijelo lete kepeken luka

88,she too was chilled to death,lete sijelo li moli e meli ike kin

89,how māui brought fire to the world,jan mawi li pana e seli tawa ma

90,wiremu grace,jan mali

91,one evening after eating a hearty meal māui lay beside his fire staring into the flames,tenpo pimeja wan la jan mawi li anpa lon poka pi seli ona li lukin e seli

92,he watched the flames flicker and dance,seli li tawa nasa li tawa musi

93,and thought to himself i wonder where fire comes from,jan mawi li pilin e ni seli li kama tan seme

94,māui being the curious person that he was decided that he needed to find out,jan mawi li jan pi wile sona

95,in the middle of the night,tenpo pimeja la

96,while everyone was sleeping,jan ante li lape la

97,māui went from village to village and extinguished all the fires,jan mawi li tawa ma ale li telo e seli ale

98,until not a single fire burned in the world,seli li lon ala

99,he then went back to his whare and waited,jan mawi li tawa tomo ona li awen

100,the next morning there was an uproar in the village,tenpo suno kama la jan ale li kalama mute

101,how can we cook our breakfast there’s no fire called a worried mother,mama wan li toki e ni mi ken seli e moku kepeken nasin seme seli li lon ala

102,how will we keep warm at night cried another,mama ante li toki e ni mi awen seli lon tenpo pimeja lete kepeken nasin seme

103,we can’t possibly live without fire the villagers said to one another,jan ale li toki e ni seli li lon ala la mi ale li ken ala lon

104,the people of the village were very frightened,jan pi ma tomo li ike pilin mute

105,they asked taranga who was their rangatira to help solve the problem,ona li toki e ni tawa jan lawa talana mi mute li pali e seme

106,someone will have to go and see the great goddess mahuika and ask her for fire said taranga,jan lawa talana li toki e ni jan li wile tawa meli sewi suli mapuwika li wile kama jo e seli tan ona

107,none of the villagers were eager to meet mahuika,jan ala li wile tawa meli mapuwika tan ni

108,they had all heard of the scorching mountain where she lived,meli mapuwika li lon nena suli seli

109,so māui offered to set out in search of mahuika,taso jan mawi li tawa meli mapuwika

110,secretly glad that his plan had worked,ona li pona pilin lon insa tan ni ona li ken kama sona e tan pi seli ale

111,be very careful said taranga,jan lawa talana li toki e ni tawa pona pali pona

112,although you are a descendant of mahuika,meli mapulika li mama pi kulupu mama sina

113,she will not take kindly to you if you try and trick her,taso sina ike tawa ona la ona li ike tawa sina

114,i’ll find the great ancestress mahuika and bring fire back to the world māui assured his mother,jan mawi li toki e ni tawa mama ona mi tawa meli mama suli mapuwika li pana e seli tawa ma

115,māui walked to the scorching mountain to the end of the earth,jan mawi li tawa nena suli seli lon pini ma

116,following the instructions from his mother,kepeken toki pi mama ona

117,and found a huge mountain glowing red hot with heat,

118,at the base of the mountain māui saw a cave entrance,ona li lukin e lupa lon anpa nena

119,before he entered māui whispered a special karakia to himself as protection from what lay beyond,ona li toki sewi kepeken kalama lili tan ni ona li wile awen lon

120,but nothing could prepare māui for what he saw when he entered the sacred mountain of mahuika,taso ona li tawa lupa la ijo suli wawa li lon

121,mahuika the goddess rose up before him,meli sewi mapuwika li tawa sewi

122,fire burning from every pore of her body,sijelo ona li seli

123,her hair a mass of flames,linja lawa ona li seli

124,her arms outstretched,luka ona li open

125,and with only black holes where her eyes once were,oko ona li lon ala li lupa pimeja taso

126,she sniffed the air,ona li kama jo e kon

127,who is this mortal that dares to enter my dwelling,ona li toki e ni sina lon tomo mi a jan ma ni li jan seme

128,māui gathered the courage to speak it is i māui son of taranga,jan mawi li toki e ni mi jan mawi pi jan talana

129,huh yelled mahuika māui the son of taranga,meli mapuwika li toki suli e ni a sina jan mawi pi jan talana anu seme

130,yes the last born māuitikitikiataranga,a jan sama ale mi li suli tawa mi mi jan mawi sikisiki a talana

131,well then māuitikitikiataranga welcome welcome to the essence of the flame,o sina kama pona tawa ma pi seli ale

132,welcome my grandchild,jan lili pi jan lili mi o kama pona

133,mahuika stepped closer to māui taking a deep sniff of his scent,meli mapuwika li tawa jan mawi li kama jo e kon ona

134,māui stood completely still,jan mawi li awen

135,even though the flames from mahuika’s skin were unbearably hot,taso seli pi meli mapuwija li seli mute

136,so… why do you come māuitikitikiataranga mahuika finally asked,meli mapuwija li toki e ni sina kama tan seme

137,māui said,jan mawi li toki e ni

138,the fires of the world have been extinguished,seli li lon ala ma

139,i have come to ask you for fire,mi kama tan ni mi wile e seli

140,mahuika listened carefully to māui and then she laughed,meli mapuwika li kute pona e toki pi jan mawi li toki musi e nimi a a a

141,she pulled a fingernail from one of her burning fingers and gave it to him,ona li pana e selo pi palisa luka wan tawa jan mawi

142,take this fire as a gift to your people,o pana e seli ni tawa kulupu sina

143,honour this fire as you honour me,o pilin e ni seli ni li suli sama mi

144,so māui left the house of mahuika taking with him the fingernail of fire,jan mawi li jo e selo seli li tawa weka

145,as māui walked along the side of the road he thought to himself,jan mawi li tawa lon nasin la ona li pilin e ni

146,what if mahuika had no fire left then where would she get her fire from,meli mapuwika li jo ala e seli la ona li kama jo e seli sin tan ma seme

147,māui couldn’t contain his curiosity,jan mawi li jan pi wile sona

148,he quickly threw the fingernail into a stream and headed back to mahuika’s cave,ona li weka e selo lon telo tawa li tawa tomo pi meli mapuwika

149,i tripped and fell said māui,jan mawi li toki e ni mi tawa li anpa a

150,could i please have another,o pana e selo sin tawa mi

151,mahuika was in a good mood,meli mapuwika li pona pilin

152,she hadn’t spoken to someone in quite some time,tenpo suli la ona li toki ala tawa jan

153,and she liked māui,jan mawi li pona tawa ona

154,she gladly gave māui another of her fingernails,ona li pana e selo sin tawa jan mawi

155,but māui soon extinguished this fingernail as well,taso jan mawi li telo e selo ni kin

156,and returned to mahuika with another excuse,li tawa meli mapuwika li toki e ni

157,a fish splashed my flame as i was crossing the river māui said,mi tawa lon telo tawa la kala li pana e telo tawa seli mi

158,mahuika provided another of her fingernails not suspecting that she was being tricked,meli mapuwika li pana e selo sin li pilin ala e ni jan mawi li toki e ijo pi lon ala

159,this continued for most of the day,jan mawi li awen pali sama ni

160,until mahuika had used all her fingernails and had even given up her toenails,meli mapuwika li pana e selo ale pi palisa luka ona e selo mute pi palisa noka ona

161,when māui returned to ask for another mahuika was furious,jan mawi li kama sin li wile e selo sin la meli mapuwika li ike pilin mute

162,she knew māui had been tricking her,ona li sona e ni jan mawi li toki e ijo pi lon ala

163,and threw the burning toenail to the ground,ona li weka anpa e selo wan pi palisa noka

164,instantly māui was surrounded by fire and chased from the cave,seli li sike e jan mawi jan mawi li tawa weka

165,māui changed himself into a hawk and escaped to the sky,ona li kama waso wawa li tawa sewi

166,but the flames burned so high that they singed the underside of his wings,taso seli li suli mute li seli e anpa pi selo ona

167,turning them a glowing red,

168,māui dived towards a river hoping to avoid the flames in the coolness of the water,jan mawi li tawa telo tawa li kama kala

169,but the immense heat made the water boil,taso seli li seli wawa e telo

170,māui was desperate he called on his ancestor tāwhirimātea for help,jan mawi li toki tawa mama tapilimateja pi tenpo pini

171,tāwhirimātea atua o ngā hau e whā āwhinatia mai,jan sewi wawa pi kon en sewi o pana e pona tawa mi

172,then a mass of clouds gathered and a torrent of rain fell to put out the many fires,kon mute li kama li pana wawa e telo mute tawa ma tawa seli

173,mahuika’s mountain of fire no longer burned hot,nena suli pi meli mapuwika li seli ala

174,mahuika had lost much of her power,meli mapuwika li jo ala e wawa mute

175,but still she was not giving up,taso ona li awen pali

176,she took her very last toenail and threw it at māui in anger,ona li weka e selo seli pini tawa jan mawi

177,the toenail of fire missed māui and flew into the trees,selo li tawa ala jan mawi li tawa kasi

178,planting itself in the mahoe tree,ona li lon insa kasi mapo

179,the tōtara,li lon kasi totala

180,the patete,li lon kasi patete

181,the pukatea,li lon kasi pukateja

182,and the kaikōmako trees,li lon kasi kawikomako

183,these trees cherished and held onto the fire of mahuika considering it a great gift,kasi ni li pona pilin li pilin e ni seli pi meli mapuwika li ijo suli

184,when māui returned to his village,jan mawi li tawa ma tomo ona la

185,he didn’t bring back fire as the villagers had expected,ona li jo ala e seli

186,instead he brought back dry wood from the kaikōmako tree,taso ona li jo e luka pi kasi kawimako

187,and showed them how to rub the dry sticks together forming friction which would eventually start a fire,li pana e sona pi open seli tawa jan pi ma tomo

188,the villagers were very happy,jan pi ma tomo li pona pilin mute tan ni

189,to be able to cook their food once more,ona li ken seli e moku

190,and to have the warmth of their fires at night to comfort them,li ken awen seli lon tenpo pimeja lete

191,māui satisfied his curiosity in finding the origin of fire,jan mawi li jan sona

192,although he very nearly paid the ultimate price in doing so,taso ante li kama la ken la jan mawi li moli

193,to this day the kahu the native hawk of aotearoa still retains the red singed feathers on the underside of its wings,selo anpa pi waso wawa kapu pi ma ajotejalowa li loje tan ni

194,a reminder of how close māui was to death,tenpo pini la jan mawi li ken moli

195,this is the story of how māui brought fire to the world,ni li toki ni jan mawi li pana e seli tawa ma

196,the epic of gilgamesh,toki pi jan lawa kikamesi

197,n k sanders,jan ote jan ante jan mali jan kipo

198,prologue gilgamesh king in uruk,jan kikamesi li jan lawa pi ma tomo uluku

199,i will proclaim to the world the deeds of gilgamesh this was the man to whom all things were known this was the king who knew the countries of the world he was wise he saw mysteries and knew secret things he brought us a tale of the days before the flood he went on a long journey was weary wornout with labour returning he rested he engraved on a stone the whole story,

200,in uruk,ma tomo uluku li lon

201,he built walls a great rampart,sinpin pi ma tomo uluku li sewi li suli sinpin ni li kiwen

202,and the temple of blessed eanna for the god of the firmament anu and for ishtar the goddess of love,tomo enana li tomo pi sewi meli inana

203,look at it still today the outer wall where the cornice runs it shines with the brilliance of copper and the inner wall it has no equal touch the threshold it is ancient approach eanna the dwelling of ishtar our lady of love and war,sinpin pi tomo enana li kiwen sinpin ni li walo sama suno o tawa tomo pi sewi meli inana o lukin

204,the like of which no latterday king no man alive can equal,jan ante li pali ala e tomo sama jan lawa ante li pali ala e tomo sama

205,climb upon the wall of uruk walk along it i say regard the foundation terrace and examine the masonry is it not burnt brick and good,jan seme li kama pali e ali ni

206,the seven sages laid the foundations,

207,gilgamesh was terrifying like a great wild bull,ona li suli jan kikamesi li utala sama soweli wawa ona li pakala e sinpin kiwen

208,when the gods created gilgamesh they gave him a perfect body shamash the glorious sun endowed him with beauty adad the god of the storm endowed him with courage,sewi meli ninsun en jan lawa lukapanta li mama ona taso sewi mama alulu li pona e sijelo ona

209,two thirds they made him god and one third man,wan ona wan li jan wan ona tu li sewi

210,the great gods made his beauty perfect,ona li suli li pona lukin

211,surpassing all others,jan kikamesi li wawa li sama sewi

212,1 the coming of enkidu,

213,gilgamesh went abroad in the world but he met with none who could withstand his arms till be came to uruk,jan ala li wile utala e ona

214,but the men of uruk muttered in their houses,jan pi ma tomo uluku li pilin ike tan jan kikamesi jan mute li tawa tomo pi jan sewi li toki e ni

215,‘gilgamesh sounds the tocsin for his amusement his arrogance has no bounds by day or night,sewi o jan kikamesi li suli li sona ona li wawa nimi ona li suli

216,no son is left with his father for gilgamesh takes them all even the children,jan kikamesi li kulupu e mije la ona li lawa e jan ni tawa utala tan ni la mama mute li pilin ike

217,yet the king should be a shepherd to his people,jan kikamesi li jan lawa pi pona ala anu seme

218,his lust leaves no virgin to her lover,jan kikamesi li kama jo e meli li unpa e ona

219,neither the warrior’s daughter nor the wife of the noble,tan ni la mama mute li pana e telo oko

220,yet this is the shepherd of the city wise comely and resolute’,jan kikamesi li jan lawa pi pona ala anu seme

221,the gods heard their lament the gods of heaven cried to the lord of uruk to anu the god of uruk ‘a goddess made him strong as a savage bull none can withstand his arms no son is left with his father for gilgamesh takes them all and is this the king the shepherd of his people his lust leaves no virgin to her lover neither the warrior’s daughter nor the wife of the noble’,sewi li kute e ni sewi an li lawa e sewi

222,when anu had heard their lamentation the gods cried to aruru the goddess of creation,ona li toki e ni tawa mama sewi alulu

223,‘you made him o aruru,tenpo pini la sina pali e jan

224,now create his equal let it be as like him as his own reflection his second self stormy heart for stormy heart,o pali e jan wawa sin o pali e jan pi sama jan kikamesi

225,let them contend together,mi wile e ni ona li utala e jan kikamesi

226,and leave uruk in quiet’,tan ni la jan pi ma tomo uluku li ken awen pona

227,so the goddess conceived an image in her mind and it was of the stuff of anu of the firmament she dipped her hands in water,mama sewi alulu li telo e luka

228,and pinched off clay she let it fall in the wilderness,ona li kama jo e ko telo li pana e ijo ni tawa ma supa

229,and noble enkidu was created,nasin ni la jan enkitu li kama lon

230,there was virtue in him of the god of war of ninurta himself,jan enkitu li suli li wawa

231,his body was rough he had long hair like a woman’s it waved like the hair of nisaba the goddess of corn his body was covered with matted hair like samugan’s the god of cattle,sijelo ona li jo e linja mute

232,enkidu ate grass in the hills with the gazelle and lurked with wild beasts at the waterholes he had joy of the water with the herds of wild game,ona en soweli li moku e kasi anpa ona en soweli li moku e telo

233,he was innocent of mankind he knew nothing of the cultivated land,jan enkitu li jan soweli ona li sona ala e ilo e tomo e jan ante

234,but there was a trapper,jan pi alasa soweli li lon ma ni ona li pali e lupa ma suli soweli li tawa insa lupa la jan ni li ken kama jo e ona jan li pali e ilo alasa kin ona li kama jo e soweli li moli e ona

235,who met him one day face to face at the drinkinghole for the wild game had entered his territory on three days he met him face to face and the trapper was frozen with fear,jan pi alasa soweli li lukin e jan enkitu wawa li pilin ike li wawa ala pilin

236,he went back to his house with the game that he had caught and he was dumb benumbed with terror his face was altered like that of one who has made a long journey,ona li tawa weka li tawa mama ona

237,with awe in his heart he spoke to his father,jan pi alasa soweli li toki e ni

238,‘father there is a man unlike any other who comes down from the hills,mama o jan soweli li kama tan ma nena

239,he is the strongest in the world he is like an immortal from heaven,ona li suli li wawa jan ala li wawa sama ona

240,i am afraid and dare not go near him,mi pilin ike

241,he ranges over the hills with wild beasts and eats grass,ona en soweli li moku e kasi anpa

242,he ranges through your land and comes down to the wells,ona en soweli li moku e telo

243,he fills in the pits which i dig and tears upmy traps set for the game,tenpo ali la ona li pakala e lupa ma mi e ilo mi

244,he helps the beasts to escape and now they slip through my fingers’,mi ken ala kama jo e soweli tan ona

245,his father opened his mouth and said to the trapper,mama li toki e ni

246,‘my son in uruk lives gilgamesh,jan lili mi o jan kikamesi li lon ma tomo uluku

247,no one has ever prevailed against him he is strong as a star from heaven,jan ala li wawa sama ona

248,go to uruk,o tawa o kama tawa ma tomo uluku

249,find gilgamesh extol the strength of this wild man,o toki e ijo pi jan wawa ni tawa jan kikamesi

250,ask him to give you a harlot a wanton from the temple of love,jan kikamesi li pana e meli unpa sanka tawa sina

251,return with her and let her woman’s power overpower this man when next he comes down to drink at the wells she will be there stripped naked and when he sees her beckoning he will embrace her and then the wild beasts will reject him’,tenpo kama la jan sanka li anpa e jan soweli ni kepeken unpa

252,so the trapper set out on his journey to uruk,jan pi alasa soweli li kama tawa ma tomo uluku

253,and addressed himself to gilgamesh saying ‘a man unlike any other is roaming now in the pastures he is as strong as a star from heaven and i am afraid to approach him he helps the wild game to escape he fills in my pits and pulls up my traps’,jan kikamesi li kute e ona

254,gilgamesh said,li toki e ni

255,‘trapper go back take with you a harlot a child of pleasure,jan pi alasa soweli o kama jo e meli unpa sanka pi tomo pi jan sewi

256,at the drinking hole she will strip and when he sees her beckoning he will embrace her,tenpo kama la ona li kepeken nasin meli tawa jan soweli ni

257,and the game of the wilderness will surely reject him’,tenpo lili kama la soweli pi jan ni li tawa weka tan ona

258,now the trapper returned taking the harlot shamhat with him,jan pi alasa soweli en jan sanka li tawa ma supa

259,after a three days’ journey they came to the drinking hole,tenpo suno pi mute lili pini la ona li kama lon ma supa

260,and there they sat down the harlot and the trapper sat facing one another and waited for the game to come for the first day and for the second day the two sat waiting,ona li awen

261,but on the third day the herds came they came down to drink and enkidu was with them,tenpo suno sin la soweli en jan soweli enkitu li kama

262,the small wild creatures of the plains were glad of the water and enkidu with them who ate grass with the gazelle and was born in the hills,jan soweli enkitu li moku e telo e kasi anpa poka soweli telo en kasi anpa li pona tawa ona

263,and she saw him the savage man come from faroff in the hills,jan sanka li lukin e jan soweli enkitu li kama tawa ona

264,the trapper spoke to her ‘there he is now woman make your breasts bare have no shame do not delay but welcome his love let him see you naked let him possess your body when he comes near uncover yourself and lie with him teach him the savage man your woman’s art for when he murmurs love to you the wild’ beasts that shared his life in the hills will reject him’,

265,she was not ashamed to take him she made herself naked and welcomed his eagerness as he lay on her murmuring love she taught him the woman’s art,meli li weka e len sama jan sanka li pilin e luka pi jan soweli enkitu meli sanka li unpa e mije enkitu mije enkitu li unpa e meli sanka

266,for six days and seven nights they lay together for enkidu had forgotten his home in the hills,tenpo suno mute la ona li unpa tenpo pimeja mute la ona li unpa

267,but when he was satisfied he went back to the wild beasts,ona li pini unpa la jan enkitu li lukin tawa soweli

268,then when the gazelle saw him they bolted away when the wild creatures saw him they fled,taso soweli li pilin ike tawa ona tan ni la soweli li tawa weka

269,enkidu would have followed,jan enkitu li wile tawa soweli

270,but his body was bound as though with a cord his knees gave way when he started to run his swiftness was gone and now the wild creatures had all fled away enkidu was grown weak,taso ona li wawa ala pilin ona li ken ala tawa wawa

271,for wisdom was in him,jan enkitu li kama pilin e ni ona li ken sona

272,and the thoughts of a man were in his heart,jan enkitu li pilin e ni mi ken sona mi pilin mi jan

273,so he returned and sat down at the woman’s feet,ona li kama tawa jan sanka li anpa

274,and listened intently,ona li lukin e sinpin ona li kute

275,to what she said,jan sanka li toki tawa jan enkitu ona li toki e ni

276,‘you are wise enkidu,jan enkitu o

277,and now you have become like a god,sina sama sewi

278,why do you want to run wild with the beasts in the hills,sina tawa poka soweli tan seme

279,come with me i will take you to strongwalled uruk to the blessed temple of ishtar and of anu of love and of heaven there gilgamesh lives who is very strong and like a wild bull he lords it over men’,o kama

280,when she had spoken enkidu was pleased he longed for a comrade for one who would understand his heart ‘come woman and take me to that holy temple to the house of anu and of ishtar and to the place where gilgamesh lords it over the people i will challenge him boldly i will cry out aloud in uruk i am the strongest here i have come to change the old order i am he who was born in the hills i am he who is strongest of all’,

281,she said ‘let us go and let him see your face i know very well where gilgamesh is in great uruk o enkidu there all the people are dressed in their gorgeous robes every day is holiday the young men and the girls are wonderful to see how sweet they smell all the great ones are roused from their beds o enkidu you who love life i will show you gilgamesh a man of many moods you shall look at him well in his radiant manhood his body is perfect in strength and maturity he never rests by night or day he is stronger than you so leave your boasting shamash the glorious sun has given favours to gilgamesh and anu of the heavens and enlil and ea the wise has given him deep understanding i tell you even before you have left the wilderness gilgamesh will know in his dreams that you are coming’,

282,now gilgamesh got up to tell his dream to his mother ninsun one of the wise gods,jan kikamesi li lukin lape ona li pini lape li tawa mama meli jan kikamesi li toki e ni

283,‘mother last night i had a dream,mama o tenpo pimeja la mi jo e sitelen lape

284,i was full of joy the young heroes were round me and i walked through the night under the stars of the firmament,mi lukin e mun lili mute lon sewi mi

285,and one a meteor of the stuff of anu fell down from heaven,mun pi sewi an li anpa lon poka mi

286,i tried to lift it,mi wile sewi e kiwen ni

287,but it proved too heavy,taso mi ken ala tawa e ona

288,all the people of uruk came round to see it the common people jostled and the nobles thronged to kiss its feet,jan pi ma tomo uluku li sike e mun ni

289,and to me its attraction was like the love of woman,mi anpa tawa ona sama ni mi anpa tawa meli

290,they helped me i braced my forehead and i raised it with thongs and brought it to you and you yourself pronounced it my brother’,mi toki e ijo ni tawa sina tawa ni sina ken pana e sona pi sitelen lape ni

291,then ninsun who is wellbeloved and wise said to gilgamesh,mama pi jan kikamesi li sona e ali sewi ninsun li sona e ali ona li sona e sitelen lape ni li toki e ni

292,’this star of heaven which descended like a meteor from the sky which you tried to lift but found too heavy when you tried to move it it would not budge and so you brought it to my feet i made it for you a goad and spur and you were drawn as though to a woman,mije lili mi o sitelen lape sina li ni

293,this is the strong comrade the one who brings help to his friend in his need,tenpo kama la jan wawa li kama tawa sina

294,he is the strongest of wild creatures the stuff of anu born in the grasslands and the wild hills reared him,ona li wawa sama mun pi sewi an

